company,year,forecasted_revenue,target
GOOGL,2025,-0.046444174,totalrevenue
GOOGL,2026,-0.038547426,totalrevenue
GOOGL,2027,-0.026153062,totalrevenue
AAPL,2025,-0.06474608,totalrevenue
AAPL,2026,-0.066427164,totalrevenue
AAPL,2027,-0.07653047,totalrevenue
TSLA,2025,0.018725105,totalrevenue
TSLA,2026,0.013376786,totalrevenue
TSLA,2027,-0.016282072,totalrevenue
META,2025,-0.037101846,totalrevenue
META,2026,-0.053781185,totalrevenue
META,2027,-0.05019617,totalrevenue
JPM,2025,0.05944677,totalrevenue
JPM,2026,0.020429859,totalrevenue
JPM,2027,-0.031803254,totalrevenue
V,2025,-0.026298195,totalrevenue
V,2026,-0.012115788,totalrevenue
V,2027,-0.009460149,totalrevenue
IBM,2025,0.57905555,totalrevenue
IBM,2026,0.498654,totalrevenue
IBM,2027,0.42968392,totalrevenue
NVDA,2025,-0.022381674,totalrevenue
NVDA,2026,-0.032097097,totalrevenue
NVDA,2027,-0.05636523,totalrevenue
AMZN,2025,0.014814127,totalrevenue
AMZN,2026,0.009047399,totalrevenue
AMZN,2027,0.0063542053,totalrevenue
MSFT,2025,-0.037216865,totalrevenue
MSFT,2026,-0.06601938,totalrevenue
MSFT,2027,-0.08873236,totalrevenue
GOOGL,2025,-0.021746017,totalassets
GOOGL,2026,-0.04300012,totalassets
GOOGL,2027,-0.06563438,totalassets
AAPL,2025,-0.02322238,totalassets
AAPL,2026,-0.029881544,totalassets
AAPL,2027,-0.029137734,totalassets
TSLA,2025,0.0101797115,totalassets
TSLA,2026,0.004598894,totalassets
TSLA,2027,0.0105737075,totalassets
META,2025,-0.0077684554,totalassets
META,2026,-0.0058562546,totalassets
META,2027,0.01307391,totalassets
JPM,2025,-0.011994794,totalassets
JPM,2026,0.0010486419,totalassets
JPM,2027,0.026284823,totalassets
V,2025,0.024806196,totalassets
V,2026,0.02476038,totalassets
V,2027,0.030286614,totalassets
IBM,2025,0.057089344,totalassets
IBM,2026,0.07210812,totalassets
IBM,2027,0.09516253,totalassets
NVDA,2025,0.006577753,totalassets
NVDA,2026,-0.002557923,totalassets
NVDA,2027,-0.0037620454,totalassets
AMZN,2025,0.053631805,totalassets
AMZN,2026,0.050782032,totalassets
AMZN,2027,0.052126177,totalassets
MSFT,2025,0.02475816,totalassets
MSFT,2026,0.020510122,totalassets
MSFT,2027,0.0061817537,totalassets
GOOGL,2025,-0.007459371,grossprofit
GOOGL,2026,-0.012287229,grossprofit
GOOGL,2027,-0.023337591,grossprofit
AAPL,2025,-0.024113325,grossprofit
AAPL,2026,-0.05193421,grossprofit
AAPL,2027,-0.06756375,grossprofit
TSLA,2025,-0.00212103,grossprofit
TSLA,2026,-0.01564373,grossprofit
TSLA,2027,-0.01921021,grossprofit
META,2025,-0.0059102657,grossprofit
META,2026,-0.010934675,grossprofit
META,2027,-0.006604697,grossprofit
JPM,2025,0.70405775,grossprofit
JPM,2026,0.72751176,grossprofit
JPM,2027,0.68170524,grossprofit
V,2025,-0.022940107,grossprofit
V,2026,-0.049271673,grossprofit
V,2027,-0.05637476,grossprofit
IBM,2025,0.61945426,grossprofit
IBM,2026,0.556174,grossprofit
IBM,2027,0.47539413,grossprofit
NVDA,2025,-0.0148346275,grossprofit
NVDA,2026,-0.026838293,grossprofit
NVDA,2027,-0.05841992,grossprofit
AMZN,2025,-0.101457626,grossprofit
AMZN,2026,-0.10533361,grossprofit
AMZN,2027,-0.10847822,grossprofit
MSFT,2025,0.036935072,grossprofit
MSFT,2026,0.04355857,grossprofit
MSFT,2027,0.037992105,grossprofit
GOOGL,2025,-0.06715027,totalcurrentassets
GOOGL,2026,-0.08965691,totalcurrentassets
GOOGL,2027,-0.08795985,totalcurrentassets
AAPL,2025,-0.0139953345,totalcurrentassets
AAPL,2026,-0.04090356,totalcurrentassets
AAPL,2027,-0.05561856,totalcurrentassets
TSLA,2025,-0.006478136,totalcurrentassets
TSLA,2026,-0.017963637,totalcurrentassets
TSLA,2027,-0.0066913436,totalcurrentassets
META,2025,-0.006944032,totalcurrentassets
META,2026,-0.027549952,totalcurrentassets
META,2027,-0.0486122,totalcurrentassets
JPM,2025,0.039450858,totalcurrentassets
JPM,2026,0.06464248,totalcurrentassets
JPM,2027,0.08267268,totalcurrentassets
V,2025,0.03877035,totalcurrentassets
V,2026,0.030622937,totalcurrentassets
V,2027,0.04613846,totalcurrentassets
IBM,2025,0.8628495,totalcurrentassets
IBM,2026,0.7487872,totalcurrentassets
IBM,2027,0.66832525,totalcurrentassets
NVDA,2025,-0.008484343,totalcurrentassets
NVDA,2026,-0.026126435,totalcurrentassets
NVDA,2027,-0.037682522,totalcurrentassets
AMZN,2025,0.02514896,totalcurrentassets
AMZN,2026,0.013419153,totalcurrentassets
AMZN,2027,0.00015521934,totalcurrentassets
MSFT,2025,-0.022918843,totalcurrentassets
MSFT,2026,-0.04311882,totalcurrentassets
MSFT,2027,-0.032395307,totalcurrentassets
